t,chair,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,stdX,stdY,stdZ,big,n,touch,tbase,up,seq,flags,rssi,is_occupied,occupied_chairs,n_occupied,block,label,target_chair,is_target,is_transition,phase_idx,t_phase_start
1785362238.157,5,1819,-790,-15659,79,-11,-124,-1328,11,10,10,0,100,2325,2303,42,20539,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.178,6,5675,13633,7246,-326,-327,-62,-880,27,14,15,0,100,1997,1979,41,19700,7,-60,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.203,1,5693,14951,93,107,195,-89,-2272,11,11,11,0,100,2162,2128,142,2902,7,-57,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.277,4,1631,-23,-16287,326,21,233,-1856,11,12,11,0,100,2121,2099,44,21409,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.277,3,1879,-69,-17930,-190,207,120,-912,13,15,11,0,100,2031,2013,46,22303,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.277,2,483,1393,-16967,-1249,-670,53,-2112,10,11,11,0,100,2056,2034,129,62360,7,-51,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.277,5,1824,-789,-15664,78,-11,-125,-1360,11,9,10,0,100,2325,2303,42,20540,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.302,6,5680,13634,7247,-326,-325,-62,-880,20,13,14,0,100,1996,1979,41,19701,7,-60,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.323,1,5692,14951,97,107,194,-90,-2224,11,12,11,0,100,2162,2128,142,2903,7,-57,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.398,7,1278,269,-16394,243,-158,157,-2016,13,14,13,0,100,2028,2019,19,9386,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.398,4,1632,-21,-16283,326,21,232,-1840,12,11,10,0,100,2122,2099,44,21410,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.398,3,1883,-68,-17936,-190,207,119,-912,13,14,12,0,100,2031,2013,46,22304,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.398,2,483,1395,-16961,-1249,-669,54,-2128,9,11,11,0,100,2057,2034,129,62361,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.423,5,1822,-791,-15661,78,-11,-125,-1312,10,10,10,0,100,2325,2303,42,20541,7,-67,0,,0,A,empty,,0,0,0,1785362235.156
