# river=delta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USW00023237 station_name=STOCKTON_AIRPORT,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00223477 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
577	4.0429	0.150529	30.1058	0
578	4.0034	0.162207	32.4415	0
579	4.3381	0.187494	37.4988	0
580	5.8287	0.254828	50.9655	0
581	7.0298	0.306177	61.2354	0
582	7.4455	0.314140	62.8280	0
583	7.5369	0.311372	62.2744	0
584	6.8494	0.282830	56.5660	0
585	6.2020	0.255922	51.1843	0
586	5.6405	0.232506	46.5012	0
587	5.1073	0.210359	42.0718	0
588	4.6281	0.190638	38.1276	0
589	4.4403	0.182004	36.4007	0
590	4.7527	0.192398	38.4796	0
591	4.8703	0.194778	38.9557	0
592	4.6866	0.184773	36.9546	0
593	4.4532	0.173787	34.7574	0
594	4.1503	0.161434	32.2867	0
595	3.8462	0.149109	29.8217	0
596	3.5405	0.136820	27.3640	0
597	3.2347	0.124770	24.9541	0
598	2.9289	0.112993	22.5986	0
599	2.6426	0.101970	20.3941	0
600	2.3767	0.091727	18.3455	0
601	2.1289	0.082234	16.4469	0
602	1.8983	0.073444	14.6887	0
603	1.7040	0.066093	13.2186	0
604	1.5404	0.059963	11.9926	0
605	1.6930	0.063907	12.7813	0
606	2.0879	0.075577	15.1153	0
607	2.1527	0.077046	15.4092	0
608	1.9886	0.071446	14.2893	0
609	1.8175	0.065459	13.0917	0
610	1.6421	0.059228	11.8457	0
611	1.4872	0.053716	10.7433	0
612	1.3439	0.048608	9.7216	0
613	1.2197	0.044167	8.8334	0
614	1.1051	0.040063	8.0125	0
615	1.0050	0.036475	7.2950	0
616	0.9114	0.033121	6.6241	0
617	0.8300	0.030201	6.0401	0
618	0.7534	0.027454	5.4908	0
619	0.6834	0.024798	4.9596	0
620	0.6158	0.022174	4.4347	0
621	0.5399	0.019248	3.8495	0
622	0.4616	0.016228	3.2457	0
623	0.4037	0.014193	2.8387	0
624	0.3514	0.012423	2.4845	0
625	0.3194	0.011342	2.2684	0
626	0.2921	0.010420	2.0840	0
627	0.2692	0.009646	1.9291	0
628	0.2471	0.008900	1.7800	0
629	0.2287	0.008278	1.6556	0
630	0.2109	0.007676	1.5352	0
631	0.1869	0.006825	1.3649	0
632	0.1621	0.005942	1.1884	0
633	0.1471	0.005451	1.0902	0
634	0.1330	0.004997	0.9995	0
635	0.1235	0.004679	0.9359	0
636	0.1143	0.004371	0.8741	0
637	0.1075	0.004147	0.8293	0
638	0.1008	0.003926	0.7852	0
639	0.0961	0.003770	0.7541	0
640	0.0916	0.003619	0.7239	0
641	0.0985	0.003824	0.7648	0
642	0.1050	0.004016	0.8031	0
643	0.0999	0.003852	0.7703	0
644	0.0949	0.003689	0.7377	0
645	0.0904	0.003537	0.7074	0
646	0.0853	0.003366	0.6733	0
647	0.0736	0.002991	0.5983	0
648	0.0850	0.003264	0.6528	0
649	0.2825	0.008781	1.7562	0
650	0.5528	0.017748	3.5496	0
651	1.2910	0.048895	9.7790	0
652	2.0246	0.080055	16.0110	0
653	2.7344	0.111286	22.2572	0
654	3.5617	0.147187	29.4374	0
655	4.9104	0.203791	40.7583	0
656	5.8780	0.244516	48.9032	0
657	5.4013	0.225064	45.0129	0
658	4.9290	0.205699	41.1399	0
659	4.4715	0.186619	37.3238	0
660	4.0353	0.168431	33.6863	0
661	3.6607	0.152809	30.5619	0
662	3.3053	0.137989	27.5978	0
663	2.9986	0.125199	25.0397	0
664	2.7090	0.113122	22.6244	0
665	2.4579	0.102650	20.5300	0
666	2.2219	0.092809	18.5619	0
667	2.0164	0.084236	16.8472	0
668	1.8241	0.076217	15.2435	0
669	1.6558	0.069198	13.8396	0
670	1.4991	0.062665	12.5329	0
671	1.3613	0.056918	11.3835	0
672	1.2336	0.051594	10.3188	0
673	1.1208	0.046889	9.3778	0
674	1.0320	0.042977	8.5953	0
675	0.9751	0.040110	8.0220	0
676	0.9212	0.037593	7.5187	0
677	0.8710	0.035495	7.0989	0
678	0.8099	0.032986	6.5971	0
679	0.7369	0.030033	6.0067	0
680	0.6707	0.027352	5.4703	0
681	0.6109	0.024935	4.9869	0
682	0.5569	0.022747	4.5494	0
683	0.5078	0.020763	4.1526	0
684	0.4638	0.018982	3.7963	0
685	0.4237	0.017362	3.4725	0
686	0.3879	0.015913	3.1826	0
687	0.3552	0.014587	2.9175	0
688	0.3260	0.013407	2.6814	0
689	0.2992	0.012321	2.4643	0
690	0.2736	0.011307	2.2614	0
