# river=shasta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045983 station_name=MOUNT_SHASTA,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00234763 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
580	4.3986	0.206524	41.3048	0
581	5.8171	0.273125	54.6251	0
582	5.9993	0.281684	56.3369	0
583	5.9633	0.279990	55.9981	0
584	5.4027	0.253670	50.7340	0
585	4.8754	0.228912	45.7824	0
586	4.4192	0.207494	41.4988	0
587	3.9915	0.187409	37.4819	0
588	3.6180	0.169874	33.9748	0
589	3.2694	0.153508	30.7017	0
590	2.9637	0.139151	27.8303	0
591	2.8187	0.132347	26.4695	0
592	2.9224	0.137216	27.4431	0
593	2.8704	0.134774	26.9548	0
594	2.6013	0.122137	24.4274	0
595	2.3537	0.110513	22.1027	0
596	2.1334	0.100167	20.0334	0
597	1.9311	0.090672	18.1345	0
598	1.7496	0.082149	16.4298	0
599	1.5803	0.074198	14.8397	0
600	1.4236	0.066840	13.3679	0
601	1.2780	0.060007	12.0015	0
602	1.1430	0.053668	10.7335	0
603	1.0084	0.047346	9.4693	0
604	0.8741	0.041041	8.2082	0
605	0.9300	0.043666	8.7332	0
606	1.1318	0.053141	10.6283	0
607	1.1949	0.056104	11.2208	0
608	1.1619	0.054554	10.9107	0
609	1.0871	0.051043	10.2086	0
610	0.9862	0.046307	9.2613	0
611	0.8955	0.042044	8.4089	0
612	0.8104	0.038049	7.6097	0
613	0.7372	0.034613	6.9226	0
614	0.6700	0.031460	6.2919	0
615	0.6113	0.028700	5.7401	0
616	0.5563	0.026119	5.2237	0
617	0.5084	0.023871	4.7742	0
618	0.4634	0.021757	4.3515	0
619	0.4244	0.019927	3.9854	0
620	0.3875	0.018196	3.6393	0
621	0.3322	0.015598	3.1196	0
622	0.2712	0.012731	2.5463	0
623	0.2348	0.011024	2.2048	0
624	0.2050	0.009627	1.9255	0
625	0.1883	0.008843	1.7685	0
626	0.1746	0.008199	1.6397	0
627	0.1630	0.007652	1.5305	0
628	0.1517	0.007125	1.4250	0
629	0.1423	0.006680	1.3360	0
630	0.1331	0.006248	1.2497	0
631	0.1254	0.005886	1.1772	0
632	0.1178	0.005532	1.1065	0
633	0.1067	0.005010	1.0020	0
634	0.0952	0.004471	0.8943	0
635	0.0907	0.004258	0.8515	0
636	0.0866	0.004066	0.8132	0
637	0.0832	0.003908	0.7815	0
638	0.0799	0.003751	0.7501	0
639	0.0771	0.003622	0.7243	0
640	0.0744	0.003493	0.6987	0
641	0.0722	0.003388	0.6776	0
642	0.0699	0.003284	0.6567	0
643	0.0681	0.003197	0.6395	0
644	0.0663	0.003112	0.6224	0
